               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.1343,             0.97613,             0.87733,             0.84393,             0.55656,             0.64298,             0.39758,             0.96505,             0.47076,             0.83691,            0.070067,           0.0033259,           0.0033259
                   1,              1.1142,             0.56578,             0.85871,             0.85418,             0.55983,             0.63778,             0.39345,             0.93196,             0.47446,             0.82737,            0.039803,           0.0063955,           0.0063955
                   2,              1.1513,             0.58002,             0.86647,             0.85749,             0.57693,             0.66254,             0.42517,             0.94067,             0.47378,             0.83848,           0.0092757,           0.0092011,           0.0092011
                   3,              1.1213,             0.57089,             0.86672,             0.82418,             0.57196,             0.65486,             0.41504,             0.96952,             0.46876,             0.84182,            0.008812,            0.008812,            0.008812
                   4,              1.0806,              0.5452,             0.86029,             0.86811,             0.57986,             0.67588,             0.43016,             0.92963,             0.44519,             0.82963,            0.008812,            0.008812,            0.008812
                   5,              1.0313,             0.51529,             0.84948,             0.86834,             0.58341,             0.68032,             0.45138,             0.87161,             0.42584,             0.82735,            0.008416,            0.008416,            0.008416
                   6,              1.0023,             0.49785,             0.84635,             0.86941,             0.58902,             0.68261,             0.44714,             0.83499,             0.41665,             0.81946,             0.00802,             0.00802,             0.00802
                   7,              0.9773,             0.48546,              0.8432,             0.87243,             0.60992,             0.70748,             0.47471,             0.81853,             0.40083,             0.81699,            0.007624,            0.007624,            0.007624
                   8,             0.94678,             0.46896,             0.83914,             0.87921,             0.60797,             0.70398,             0.47293,             0.79986,             0.38492,             0.81401,            0.007228,            0.007228,            0.007228
                   9,             0.93919,             0.46174,             0.83778,             0.87767,             0.62063,             0.72025,             0.48663,             0.79372,             0.37559,             0.81569,            0.006832,            0.006832,            0.006832
                  10,             0.90734,             0.44331,             0.83957,             0.85981,             0.59824,             0.68741,              0.4541,             0.83133,             0.40485,             0.81706,            0.006436,            0.006436,            0.006436
                  11,             0.90845,             0.44118,             0.83924,             0.87406,             0.60593,             0.70419,             0.46935,             0.81923,             0.40068,             0.81708,             0.00604,             0.00604,             0.00604
                  12,             0.89477,             0.43498,              0.8364,             0.86486,             0.60535,              0.6929,             0.46073,             0.83152,             0.39772,             0.81714,            0.005644,            0.005644,            0.005644
                  13,             0.87805,             0.42544,             0.83192,             0.88254,              0.6081,             0.71177,             0.48142,             0.79363,             0.38095,             0.81224,            0.005248,            0.005248,            0.005248
                  14,             0.86175,             0.41418,             0.83035,             0.88376,             0.62187,             0.73741,             0.50213,             0.78469,              0.3801,             0.81036,            0.004852,            0.004852,            0.004852
                  15,             0.85339,              0.4084,             0.82791,             0.88585,             0.62961,             0.73477,             0.50112,             0.79176,              0.3698,             0.81268,            0.004456,            0.004456,            0.004456
                  16,             0.83564,             0.39563,             0.82582,             0.88525,             0.62803,             0.73959,             0.51023,             0.76265,             0.35793,              0.8073,             0.00406,             0.00406,             0.00406
                  17,             0.83559,             0.39233,             0.82395,             0.88021,              0.6353,             0.73722,             0.51043,             0.75277,             0.35444,             0.80571,            0.003664,            0.003664,            0.003664
                  18,             0.81315,             0.37972,             0.82068,             0.87826,             0.63566,             0.73838,             0.51357,             0.75361,             0.35486,             0.80688,            0.003268,            0.003268,            0.003268
                  19,              0.8137,             0.37813,             0.82195,             0.88749,             0.64524,             0.75427,             0.52502,             0.74784,             0.34692,             0.80513,            0.002872,            0.002872,            0.002872
                  20,             0.79982,             0.36933,              0.8183,             0.89644,             0.63992,             0.75445,             0.53034,             0.73444,             0.33826,              0.8044,            0.002476,            0.002476,            0.002476
                  21,             0.79088,             0.36334,             0.81909,             0.88517,             0.64858,             0.75504,             0.53405,             0.72045,             0.33399,             0.80072,             0.00208,             0.00208,             0.00208
                  22,             0.77794,             0.35646,             0.81426,             0.89541,             0.64514,             0.76598,             0.54256,             0.71565,             0.33238,             0.80074,            0.001684,            0.001684,            0.001684
                  23,             0.76708,             0.34852,             0.81383,              0.8945,             0.65158,             0.76393,             0.54277,             0.70881,             0.32535,             0.79919,            0.001288,            0.001288,            0.001288
                  24,             0.75788,             0.34486,             0.81235,             0.88879,             0.65737,             0.76886,             0.55041,             0.70162,             0.32166,             0.79952,            0.000892,            0.000892,            0.000892
